"Country","totalCountryRevenue","purchaseDate","totalRevenue"
Brazil,1143.60,Apr-2011,537808.62
Switzerland,2076.94,Apr-2011,537808.62
Channel Islands,293.00,Apr-2011,537808.62
Hong Kong,1539.64,Apr-2011,537808.62
Unspecified,299.10,Apr-2011,537808.62
Spain,1785.65,Apr-2011,537808.62
Portugal,1687.75,Apr-2011,537808.62
Greece,609.74,Apr-2011,537808.62
Belgium,1989.48,Apr-2011,537808.62
Italy,737.83,Apr-2011,537808.62
Poland,705.84,Apr-2011,537808.62
Singapore,8209.58,Apr-2011,537808.62
EIRE,7570.50,Apr-2011,537808.62
Australia,771.60,Apr-2011,537808.62
Sweden,809.10,Apr-2011,537808.62
Germany,12315.54,Apr-2011,537808.62
Israel,110.00,Apr-2011,537808.62
France,5529.61,Apr-2011,537808.62
United Kingdom,476517.76,Apr-2011,537808.62
Finland,1688.92,Apr-2011,537808.62
Iceland,636.25,Apr-2011,537808.62
Japan,6548.50,Apr-2011,537808.62
Netherlands,2976.56,Apr-2011,537808.62
USA,383.95,Apr-2011,537808.62
Austria,680.78,Apr-2011,537808.62
European Community,191.40,Apr-2011,537808.62
Hong Kong,2813.95,Aug-2011,759138.38
Unspecified,531.03,Aug-2011,759138.38
Israel,4873.81,Aug-2011,759138.38
Malta,1119.00,Aug-2011,759138.38
Portugal,1221.40,Aug-2011,759138.38
Australia,22489.20,Aug-2011,759138.38
Denmark,213.15,Aug-2011,759138.38
Austria,1516.08,Aug-2011,759138.38
Norway,2025.81,Aug-2011,759138.38
Netherlands,40327.81,Aug-2011,759138.38
Italy,1990.95,Aug-2011,759138.38
EIRE,18353.75,Aug-2011,759138.38
Sweden,1400.86,Aug-2011,759138.38
Finland,1376.50,Aug-2011,759138.38
Spain,3346.91,Aug-2011,759138.38
Poland,401.80,Aug-2011,759138.38
Switzerland,4969.89,Aug-2011,759138.38
France,13810.96,Aug-2011,759138.38
Belgium,3554.02,Aug-2011,759138.38
Iceland,584.91,Aug-2011,759138.38
Channel Islands,4896.78,Aug-2011,759138.38
Germany,19220.77,Aug-2011,759138.38
Canada,51.56,Aug-2011,759138.38
United Kingdom,608047.48,Aug-2011,759138.38
United Kingdom,748268.98,Dec-2010,823746.14
France,9616.31,Dec-2010,823746.14
Australia,1032.85,Dec-2010,823746.14
Netherlands,8784.48,Dec-2010,823746.14
Germany,15241.14,Dec-2010,823746.14
Norway,3787.12,Dec-2010,823746.14
EIRE,10033.26,Dec-2010,823746.14
Switzerland,1304.92,Dec-2010,823746.14
Spain,1843.73,Dec-2010,823746.14
Poland,248.16,Dec-2010,823746.14
Portugal,2439.97,Dec-2010,823746.14
Italy,811.50,Dec-2010,823746.14
Belgium,1809.91,Dec-2010,823746.14
Lithuania,1661.06,Dec-2010,823746.14
Iceland,711.79,Dec-2010,823746.14
Channel Islands,363.53,Dec-2010,823746.14
Denmark,1281.50,Dec-2010,823746.14
Cyprus,1590.82,Dec-2010,823746.14
Sweden,3834.30,Dec-2010,823746.14
Finland,892.80,Dec-2010,823746.14
Austria,277.20,Dec-2010,823746.14
Bahrain,205.74,Dec-2010,823746.14
Japan,7705.07,Dec-2010,823746.14
United Kingdom,592622.09,Dec-2011,638792.68
EIRE,7340.89,Dec-2011,638792.68
Sweden,238.00,Dec-2011,638792.68
France,7276.92,Dec-2011,638792.68
Finland,1232.76,Dec-2011,638792.68
Belgium,1417.73,Dec-2011,638792.68
Portugal,2808.19,Dec-2011,638792.68
USA,885.24,Dec-2011,638792.68
Channel Islands,198.40,Dec-2011,638792.68
Spain,316.21,Dec-2011,638792.68
Iceland,224.82,Dec-2011,638792.68
Netherlands,11728.02,Dec-2011,638792.68
Greece,680.99,Dec-2011,638792.68
Italy,200.45,Dec-2011,638792.68
Denmark,168.90,Dec-2011,638792.68
Norway,2785.70,Dec-2011,638792.68
Germany,7984.17,Dec-2011,638792.68
Austria,683.20,Dec-2011,638792.68
United Arab Emirates,889.24,Feb-2011,523631.89
Channel Islands,1784.71,Feb-2011,523631.89
Denmark,399.22,Feb-2011,523631.89
Italy,256.00,Feb-2011,523631.89
Portugal,1213.90,Feb-2011,523631.89
Saudi Arabia,145.92,Feb-2011,523631.89
Finland,205.16,Feb-2011,523631.89
Czech Republic,549.26,Feb-2011,523631.89
Austria,518.36,Feb-2011,523631.89
Cyprus,4334.24,Feb-2011,523631.89
Germany,9581.05,Feb-2011,523631.89
EIRE,12248.74,Feb-2011,523631.89
United Kingdom,430027.95,Feb-2011,523631.89
Australia,14695.42,Feb-2011,523631.89
Switzerland,2654.92,Feb-2011,523631.89
Israel,779.10,Feb-2011,523631.89
Japan,5780.81,Feb-2011,523631.89
Belgium,2181.07,Feb-2011,523631.89
Norway,630.90,Feb-2011,523631.89
Sweden,509.50,Feb-2011,523631.89
Spain,2114.50,Feb-2011,523631.89
France,8515.96,Feb-2011,523631.89
Poland,604.05,Feb-2011,523631.89
Netherlands,23011.91,Feb-2011,523631.89
United Kingdom,561289.98,Jan-2011,691364.56
Sweden,3486.32,Jan-2011,691364.56
France,17740.12,Jan-2011,691364.56
Australia,9017.71,Jan-2011,691364.56
Germany,16910.84,Jan-2011,691364.56
Spain,10086.09,Jan-2011,691364.56
Portugal,4055.71,Jan-2011,691364.56
EIRE,21904.19,Jan-2011,691364.56
Israel,379.84,Jan-2011,691364.56
Cyprus,547.50,Jan-2011,691364.56
Belgium,1200.20,Jan-2011,691364.56
Italy,2402.51,Jan-2011,691364.56
Netherlands,26611.16,Jan-2011,691364.56
Poland,613.22,Jan-2011,691364.56
Finland,889.02,Jan-2011,691364.56
Greece,2661.24,Jan-2011,691364.56
Hong Kong,2439.76,Jan-2011,691364.56
Singapore,2053.07,Jan-2011,691364.56
Iceland,475.39,Jan-2011,691364.56
Channel Islands,675.58,Jan-2011,691364.56
Lebanon,1693.88,Jan-2011,691364.56
Switzerland,4231.23,Jan-2011,691364.56
Poland,687.30,Jul-2011,719221.19
Israel,1430.75,Jul-2011,719221.19
Singapore,3949.32,Jul-2011,719221.19
Netherlands,26.02,Jul-2011,719221.19
United Kingdom,601994.84,Jul-2011,719221.19
Switzerland,3998.61,Jul-2011,719221.19
EIRE,42789.85,Jul-2011,719221.19
France,10000.19,Jul-2011,719221.19
Germany,16440.98,Jul-2011,719221.19
Spain,7624.92,Jul-2011,719221.19
Finland,2996.73,Jul-2011,719221.19
European Community,676.80,Jul-2011,719221.19
Belgium,2475.57,Jul-2011,719221.19
Italy,147.10,Jul-2011,719221.19
Denmark,376.24,Jul-2011,719221.19
Sweden,6802.09,Jul-2011,719221.19
Unspecified,1425.41,Jul-2011,719221.19
Canada,1768.58,Jul-2011,719221.19
Greece,421.24,Jul-2011,719221.19
Austria,1191.95,Jul-2011,719221.19
Norway,890.07,Jul-2011,719221.19
Portugal,2287.85,Jul-2011,719221.19
Japan,3854.40,Jul-2011,719221.19
Australia,4964.38,Jul-2011,719221.19
EIRE,24863.61,Jun-2011,761739.90
European Community,432.05,Jun-2011,761739.90
France,16348.41,Jun-2011,761739.90
Cyprus,1109.32,Jun-2011,761739.90
Spain,3333.21,Jun-2011,761739.90
Poland,343.65,Jun-2011,761739.90
Sweden,832.00,Jun-2011,761739.90
Germany,13274.10,Jun-2011,761739.90
Belgium,4274.82,Jun-2011,761739.90
Netherlands,26858.09,Jun-2011,761739.90
United Kingdom,619510.67,Jun-2011,761739.90
Malta,863.16,Jun-2011,761739.90
Switzerland,7904.15,Jun-2011,761739.90
Denmark,3261.15,Jun-2011,761739.90
Iceland,382.52,Jun-2011,761739.90
Australia,25187.77,Jun-2011,761739.90
Channel Islands,2060.03,Jun-2011,761739.90
Canada,1171.46,Jun-2011,761739.90
Unspecified,185.78,Jun-2011,761739.90
Japan,1607.04,Jun-2011,761739.90
Hong Kong,633.96,Jun-2011,761739.90
Finland,329.56,Jun-2011,761739.90
Norway,5886.86,Jun-2011,761739.90
Portugal,884.46,Jun-2011,761739.90
Italy,202.07,Jun-2011,761739.90
Finland,5936.82,Mar-2011,717639.36
France,14589.55,Mar-2011,717639.36
Germany,14392.69,Mar-2011,717639.36
Belgium,3351.98,Mar-2011,717639.36
EIRE,22197.51,Mar-2011,717639.36
Norway,1265.31,Mar-2011,717639.36
Channel Islands,3509.33,Mar-2011,717639.36
Japan,48.90,Mar-2011,717639.36
Australia,17223.99,Mar-2011,717639.36
Austria,1708.12,Mar-2011,717639.36
Spain,5363.15,Mar-2011,717639.36
Greece,387.31,Mar-2011,717639.36
Portugal,2660.85,Mar-2011,717639.36
Italy,1806.81,Mar-2011,717639.36
United Kingdom,586230.28,Mar-2011,717639.36
Netherlands,22416.49,Mar-2011,717639.36
Hong Kong,2583.76,Mar-2011,717639.36
Denmark,3978.99,Mar-2011,717639.36
Poland,317.78,Mar-2011,717639.36
Canada,140.54,Mar-2011,717639.36
Cyprus,938.39,Mar-2011,717639.36
Sweden,4720.58,Mar-2011,717639.36
Switzerland,1870.23,Mar-2011,717639.36
Sweden,2681.98,May-2011,770536.02
Unspecified,1055.87,May-2011,770536.02
Bahrain,548.40,May-2011,770536.02
EIRE,18008.76,May-2011,770536.02
Canada,534.24,May-2011,770536.02
Spain,3257.60,May-2011,770536.02
Belgium,2732.40,May-2011,770536.02
Poland,1522.37,May-2011,770536.02
Switzerland,3610.01,May-2011,770536.02
Netherlands,29185.88,May-2011,770536.02
Italy,587.45,May-2011,770536.02
Germany,25751.20,May-2011,770536.02
United Kingdom,639314.36,May-2011,770536.02
Channel Islands,1207.24,May-2011,770536.02
Hong Kong,1966.16,May-2011,770536.02
France,17614.88,May-2011,770536.02
Japan,1351.45,May-2011,770536.02
Portugal,4202.23,May-2011,770536.02
Australia,13638.41,May-2011,770536.02
Denmark,515.70,May-2011,770536.02
Austria,1249.43,May-2011,770536.02
Spain,8678.96,Nov-2011,1509496.33
Belgium,6315.76,Nov-2011,1509496.33
Finland,3070.24,Nov-2011,1509496.33
Channel Islands,1514.77,Nov-2011,1509496.33
Sweden,2722.23,Nov-2011,1509496.33
Switzerland,8118.96,Nov-2011,1509496.33
Austria,1329.78,Nov-2011,1509496.33
Hong Kong,326.10,Nov-2011,1509496.33
Unspecified,965.75,Nov-2011,1509496.33
Malta,743.43,Nov-2011,1509496.33
Denmark,2699.57,Nov-2011,1509496.33
Cyprus,460.89,Nov-2011,1509496.33
Japan,8460.08,Nov-2011,1509496.33
United Kingdom,1325346.21,Nov-2011,1509496.33
EIRE,30738.43,Nov-2011,1509496.33
Italy,4571.08,Nov-2011,1509496.33
France,31758.71,Nov-2011,1509496.33
Poland,1361.23,Nov-2011,1509496.33
Australia,7242.72,Nov-2011,1509496.33
Netherlands,25874.01,Nov-2011,1509496.33
Germany,28025.02,Nov-2011,1509496.33
Portugal,2644.90,Nov-2011,1509496.33
Norway,6527.50,Nov-2011,1509496.33
Italy,3489.69,Oct-2011,1154979.30
RSA,1002.31,Oct-2011,1154979.30
Sweden,5766.16,Oct-2011,1154979.30
Singapore,7067.32,Oct-2011,1154979.30
Hong Kong,734.52,Oct-2011,1154979.30
Austria,1043.78,Oct-2011,1154979.30
Japan,1948.04,Oct-2011,1154979.30
Iceland,1294.32,Oct-2011,1154979.30
Belgium,5685.38,Oct-2011,1154979.30
Finland,2822.12,Oct-2011,1154979.30
Israel,138.03,Oct-2011,1154979.30
Portugal,6206.67,Oct-2011,1154979.30
Germany,31638.42,Oct-2011,1154979.30
Australia,17150.53,Oct-2011,1154979.30
Switzerland,8065.18,Oct-2011,1154979.30
Netherlands,40708.65,Oct-2011,1154979.30
EIRE,24317.92,Oct-2011,1154979.30
Denmark,1490.76,Oct-2011,1154979.30
France,33485.45,Oct-2011,1154979.30
Spain,8636.94,Oct-2011,1154979.30
Czech Republic,277.48,Oct-2011,1154979.30
USA,2311.20,Oct-2011,1154979.30
Norway,3687.23,Oct-2011,1154979.30
United Kingdom,938975.01,Oct-2011,1154979.30
Channel Islands,2623.32,Oct-2011,1154979.30
Cyprus,4412.87,Oct-2011,1154979.30
Sweden,4575.21,Sep-2011,1058590.17
Portugal,1433.22,Sep-2011,1058590.17
Unspecified,286.85,Sep-2011,1058590.17
Finland,1105.45,Sep-2011,1058590.17
Poland,529.25,Sep-2011,1058590.17
Spain,5189.24,Sep-2011,1058590.17
Switzerland,8284.86,Sep-2011,1058590.17
Belgium,4208.02,Sep-2011,1058590.17
Israel,423.73,Sep-2011,1058590.17
Japan,112.08,Sep-2011,1058590.17
Channel Islands,1323.75,Sep-2011,1058590.17
Hong Kong,2653.95,Sep-2011,1058590.17
Italy,279.80,Sep-2011,1058590.17
Denmark,4570.16,Sep-2011,1058590.17
EIRE,43086.55,Sep-2011,1058590.17
Australia,5106.73,Sep-2011,1058590.17
United Kingdom,897076.47,Sep-2011,1058590.17
Norway,8678.94,Sep-2011,1058590.17
Germany,18091.22,Sep-2011,1058590.17
Cyprus,196.35,Sep-2011,1058590.17
France,23428.04,Sep-2011,1058590.17
United Arab Emirates,1013.04,Sep-2011,1058590.17
Netherlands,26937.26,Sep-2011,1058590.17
